Production and value of honey																																																																																																
Annual					https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035301																																																																																											
Table: 32-10-0353-01 (formerly CANSIM 001-0007)																																																																																																
"Geography: Canada, Province or territory"																																																																																																
																																																																																																
	Alberta																																																																																															
Estimates	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
	Number																																																																																															
Beekeepers 2	160	140	150	200	200	150	170	190	320	320	"1,010"	"1,000"	"1,150"	"1,240"	"1,090"	"1,590"	"2,200"	"2,400"	"3,820"	"7,500"	"9,100"	"10,000"	"11,000"	"9,560"	"6,600"	"4,800"	"4,150"	"2,120"	"2,010"	"1,560"	"1,300"	"1,270"	"1,800"	"1,800"	"1,490"	"1,540"	"1,670"	"1,390"	"1,260"	"1,100"	"1,450"	"1,320"	"1,150"	"1,400"	"1,500"	"1,400"	"1,200"	"1,200"	"1,200"	"1,300"	"1,800"	"2,000"	"2,000"	"1,800"	"1,800"	"1,700"	"1,800"	"1,700"	"1,650"	"1,610"	"1,650"	"1,700"	"1,700"	"1,480"	"1,140"	855	840	830	800	761	750	750	750	725	730	725	747	739	700	755	695	728	733	726	620	683	769	798	883	890	"1,015"	"1,064"	"1,453"	"1,402"	"1,572"	"1,474"
Colonies 2	0	"2,040"	"2,560"	"3,450"	"4,150"	"4,560"	"4,450"	"5,500"	"5,700"	"5,800"	"9,390"	"13,060"	"12,180"	"13,730"	"15,230"	"18,000"	"22,000"	"24,000"	"27,500"	"42,800"	"57,000"	"63,000"	"72,000"	"77,600"	"82,200"	"55,000"	"49,000"	"38,100"	"34,600"	"31,100"	"33,800"	"35,200"	"48,200"	"48,200"	"45,900"	"54,200"	"54,900"	"60,000"	"65,400"	"71,600"	"83,850"	"114,000"	"114,000"	"120,000"	"110,000"	"120,000"	"110,000"	"115,000"	"130,000"	"145,000"	"156,000"	"158,000"	"160,000"	"165,000"	"160,000"	"150,000"	"160,000"	"170,000"	"174,000"	"172,000"	"180,000"	"181,000"	"190,000"	"193,000"	"150,000"	"143,500"	"152,000"	"147,000"	"148,000"	"148,000"	"159,000"	"175,000"	"175,000"	"175,000"	"205,000"	"205,000"	"217,000"	"227,000"	"227,000"	"221,000"	"248,000"	"251,000"	"254,000"	"237,000"	"226,000"	"251,000"	"266,000"	"274,600"	"278,400"	"278,100"	"282,900"	"296,880"	"309,000"	"317,000"	"311,000"	"303,500"
	Pounds																																																																																															
"Production of natural honey, total  (x 1,000)3"	55	115	215	300	336	522	990	915	550	"1,000"	"1,500"	"1,100"	"1,850"	"2,160"	"2,418"	"2,178"	"2,222"	"3,120"	"2,500"	"3,800"	"5,130"	"6,000"	"6,192"	"6,507"	"10,254"	"5,830"	"4,851"	"4,500"	"4,900"	"3,856"	"2,636"	"4,611"	"4,724"	"6,459"	"7,574"	"5,095"	"7,576"	"9,600"	"6,867"	"11,600"	"9,800"	"20,050"	"13,180"	"17,380"	"10,230"	"20,280"	"20,240"	"22,540"	"20,150"	"21,605"	"17,940"	"13,904"	"20,480"	"21,450"	"20,000"	"22,600"	"22,720"	"23,100"	"18,100"	"25,100"	"27,650"	"18,500"	"23,940"	"25,500"	"23,000"	"17,220"	"23,256"	"21,032"	"23,088"	"23,745"	"31,005"	"21,306"	"20,215"	"23,625"	"38,335"	"24,805"	"24,087"	"26,786"	"29,735"	"27,845"	"33,480"	"31,877"	"46,736"	"28,914"	"25,990"	"29,116"	"34,580"	"34,050"	"38,000"	"33,200"	"35,500"	"39,461"	"40,170"	"40,576"	"38,564"	"25,067"
	Dollars																																																																																															
"Value of natural honey, total  (x 1,000)4"	14	23	37	60	67	78	99	92	44	90	150	99	166	162	169	176	244	374	362	551	770	900	991	"1,366"	"2,051"	583	631	540	588	540	395	738	756	"1,033"	"1,136"	764	"1,138"	"1,328"	961	"1,740"	"1,470"	"3,208"	"2,032"	"2,607"	"1,432"	"2,839"	"2,773"	"4,283"	"6,045"	"9,722"	"7,355"	"5,562"	"7,578"	"9,224"	"10,200"	"12,882"	"13,166"	"14,934"	"11,265"	"15,029"	"13,410"	"10,416"	"14,400"	"10,710"	"9,349"	"8,438"	"13,552"	"12,150"	"13,544"	"16,275"	"21,140"	"17,747"	"25,337"	"26,039"	"34,000"	"20,158"	"19,741"	"27,488"	"58,320"	"56,845"	"50,455"	"31,428"	"46,375"	"29,627"	"37,755"	"48,837"	"56,230"	"59,168"	"68,340"	"72,905"	"79,788"	"84,555"	"62,388"	"71,359"	"66,472"	"45,962"
																																																																																																
Symbol legend:																																																																																																
																																																																																																
Footnotes:																																																																																																
1	"Figures are compiled by Statistics Canada from provincial data, except for New Brunswick and Prince Edward Island where data are collected through a Statistics Canada mail survey."																																																																																															
2	Beekeeper and colony numbers may include pollinators that may not extract honey.																																																																																															
3	Production excludes inventory.																																																																																															
4	Value excludes inventory sales except for in Quebec.																																																																																															
																																																																																																
How to cite: Statistics Canada. Table 32-10-0353-01 Production and value of honey																																																																																																
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035301																																																																																																
DOI: https://doi.org/10.25318/3210035301-eng																																																																																																
