		Type of crop	Canola (rapeseed) 5 7	Corn for grain 5 8		Canola (rapeseed) 5 7							
Canada	Production (metric tonnes)	1908	..	580600.00		..							
		1909	..	489600.00		..							
		1910	..	363600.00		..							
		1911	..	487400.00		..							
		1912	..	430100.00		..							
		1913	..	425900.00		..							
		1914	..	354100.00		..							
		1915	..	364900.00		..							
		1916	..	159200.00		..							
		1917	..	196800.00		..							
		1918	..	361200.00		..							
		1919	..	430400.00		..							
		1920	..	364100.00		..							
		1921	..	378600.00		..							
		1922	..	350900.00		..							
		1923	..	346000.00		..							
		1924	..	304800.00		..							
		1925	..	268000.00	64.57	..							
		1926	..	198500.00	63.50	..							
		1927	..	108000.00	71.76	..							
		1928	..	132900.00	66.21	..							
		1929	..	131600.00	66.97	..							
		1930	..	148200.00	83.56	..							
		1931	..	138600.00	89.37	..							
		1932	..	128000.00	75.05	..							
		1933	..	128000.00	97.78	..							
		1934	..	173000.00	104.20	..							
		1935	..	197000.00	94.26	..							
		1936	..	155000.00	102.47	..							
		1937	..	138000.00	69.91	..							
		1938	..	195000.00	115.99	..							
		1939	..	206000.00	84.68	..							
		1940	..	177000.00	70.80	..							
		1941	..	347700.00	81.08	..							
		1942	..	373100.00	65.68	..							
		1943	1000.00	203300.00	87.83	3.00							
		1944	2800.00	303800.00	71.32	3.45							
		1945	3800.00	269800.00	63.19	3.58							
		1946	5900.00	279800.00	42.80	3.77							
		1947	9900.00	175400.00	62.98	4.00							
		1948	29000.00	322500.00	79.23	4.46							
		1949	7700.00	355000.00	66.49	3.89							
		1950	50.00	357900.00	65.93	1.70							
		1951	2700.00	403800.00	100.68	3.43							
		1952	6400.00	538000.00	81.00	3.81							
		1953	11100.00	586400.00	77.30	4.05							
		1954	13100.00	631900.00	58.49	4.12							
		1955	35400.00	902800.00	77.35	4.55							
		1956	136000.00	706500.00	73.55	5.13							
		1957	196400.00	750100.00	98.41	5.29							
		1958	176000.00	756400.00	82.68	5.25							
		1959	80800.00	784800.00	95.33	4.91							
		1960	252200.00	662500.00	98.44	5.40							
		1961	254500.00	742100.00	104.06	5.41							
		1962	132900.00	848400.00	90.21	5.12							
		1963	189500.00	919600.00	117.04	5.28							
		1964	300000.00	1342200.00	95.91	5.48							
		1965	512600.00	1511800.00	119.02	5.71							
		1966	585100.00	1685600.00	103.53	5.77							
		1967	563600.00	1882800.00	102.64	5.75							
		1968	441400.00	2076800.00	80.60	5.64							
		1969	760300.00	1883200.00	127.22	5.88							
		1970	1646500.00	2633800.00	125.24	6.22							
		1971	2165900.00	2941500.00	129.58	6.34							
		1972	1317700.00	2566800.00	121.25	6.12							
		1973	1223700.00	2879700.00	124.75	6.09							
		1974	1163500.00	2620100.00	96.68	6.07							
		1975	1839200.00	3644700.00	91.30	6.26							
		1976	836900.00	3759200.00	105.65	5.92							
		1977	1973100.00	4248800.00	113.17	6.30							
		1978	3497100.00	4479800.00	118.94	6.54							
		1979	3411100.00	5276100.00	125.68	6.53							
		1980	2483400.00	5753200.00	106.04	6.40							
		1981	1848500.00	6682600.00	121.00	6.27							
		1982	2218100.00	6522300.00	101.44	6.35							
		1983	2593300.00	5930800.00	124.79	6.41							
		1984	3411900.00	6777500.00	135.46	6.53							
		1985	3497900.00	6969900.00	114.81	6.54							
		1986	3713700.00	5911700.00	106.09	6.57							
		1987	3719500.00	7064700.00	124.22	6.57							
		1988	4218300.00	5449500.00	134.44	6.63							
		1989	3209200.00	6570900.00	111.98	6.51							
		1990	3265900.00	7066600.00	133.03	6.51							
		1991	4224200.00	7412500.00	139.70	6.63							
		1992	3872400.00	4882600.00	133.40	6.59							
		1993	5524900.00	6755200.00	134.46	6.74							
		1994	7232500.00	7189900.00	150.62	6.86							
		1995	6434200.00	7280900.00	128.44	6.81							
		1996	5062300.00	7541700.00	116.70	6.70							
		1997	6393100.00	7179800.00	131.48	6.81							
		1998	7643300.00	8952400.00	180.26	6.88							
		1999	8798300.00	9161300.00	138.90	6.94							
		2000	7205300.00	6953700.00	117.08	6.86							
		2001	5017100.00	8389200.00	129.52	6.70							
		2002	4520500.00	8998800.00	138.88	6.66							
		2003	6771200.00	9587300.00	135.42	6.83							
		2004	7673600.00	8836800.00	126.26	6.88							
		2005	9483300.00	9332200.00	129.33	6.98							
		2006	9000300.00	8989800.00	169.64	6.95							
		2007	9611100.00	11648700.00	117.78	6.98							
		2008	12644900.00	10642800.00	113.84	7.10							
		2009	12898100.00	9796200.00	118.83	7.11							
		2010	12788600.00	12043300.00	131.67	7.11							
		2011	14608100.00	11358700.00	125.13	7.16							
		2012	13868500.00	13060100.00	131.53	7.14							
		2013	18551000.00	14190700.00	114.58	7.27							
		2014	16410100.00	11606400.00	122.87	7.22							
		2015	18376500.00	13679500.00	132.15	7.26							
		2016	19599200.00	13889000.00		7.29							
		2017	"21,328,100r"	14095500.00		#VALUE!							
		2018	20593500.00	13884800.00		7.31							
		2019	"19,477,300r"	13403900.00		#VALUE!							
		2020	19403000.00	13927600.00		7.29							
